RNAcentral:URS0000170CF4_9606	URS0000170CF4_9606	Homo sapiens (human) hsa-miR-221-3p
UniProtKB:P41182	BCL6	B-cell lymphoma 6 protein
UniProtKB:Q00653	NFKB2	Nuclear factor NF-kappa-B p100 subunit
UniProtKB:P25116	F2R	Proteinase-activated receptor 1
UniProtKB:P13726	F3	Tissue factor
UniProtKB:Q9BS40	LXN	Latexin
UniProtKB:P25105	PTAFR	Platelet-activating factor receptor
UniProtKB:P25103	TACR1	Substance-P receptor
UniProtKB:P61073	CXCR4	C-X-C chemokine receptor type 4
UniProtKB:P35367	HRH1	Histamine H1 receptor
UniProtKB:P04083	ANXA1	Annexin A1
UniProtKB:P35318	ADM	Pro-adrenomedullin
UniProtKB:Q96PP8	GBP5	Guanylate-binding protein 5
UniProtKB:Q07954	LRP1	Prolow-density lipoprotein receptor-related protein 1
UniProtKB:Q6B0I6	KDM4D	Lysine-specific demethylase 4D
UniProtKB:P08697	SERPINF2	Alpha-2-antiplasmin
UniProtKB:Q9P1Q0	VPS54	Vacuolar protein sorting-associated protein 54
UniProtKB:P08637	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A
UniProtKB:P08631	HCK	Tyrosine-protein kinase HCK
UniProtKB:P23510	TNFSF4	Tumor necrosis factor ligand superfamily member 4
UniProtKB:Q13488	TCIRG1	V-type proton ATPase 116 kDa subunit a 3
UniProtKB:Q7Z7A4	PXK	PX domain-containing protein kinase-like protein
UniProtKB:P01854	IGHE	Immunoglobulin heavy constant epsilon
UniProtKB:P13236	CCL4	C-C motif chemokine 4
UniProtKB:P08571	CD14	Monocyte differentiation antigen CD14
UniProtKB:O00206	TLR4	Toll-like receptor 4
UniProtKB:P14778	IL1R1	Interleukin-1 receptor type 1
UniProtKB:Q9UNK4	PLA2G2D	Group IID secretory phospholipase A2
UniProtKB:Q96LB2	MRGPRX1	Mas-related G-protein coupled receptor member X1
UniProtKB:P15291	B4GALT1	Beta-1,4-galactosyltransferase 1
UniProtKB:P54802	NAGLU	Alpha-N-acetylglucosaminidase
UniProtKB:Q1L6U9	MSMP	Prostate-associated microseminoprotein
UniProtKB:Q9NR48	ASH1L	Histone-lysine N-methyltransferase ASH1L
UniProtKB:P15260	IFNGR1	Interferon gamma receptor 1
UniProtKB:P15248	IL9	Interleukin-9
UniProtKB:P45984	MAPK9	Mitogen-activated protein kinase 9
UniProtKB:Q9BYH8	NFKBIZ	NF-kappa-B inhibitor zeta
UniProtKB:Q00604	NDP	Norrin
UniProtKB:Q07325	CXCL9	C-X-C motif chemokine 9
UniProtKB:Q8N4X5	AFAP1L2	Actin filament-associated protein 1-like 2
UniProtKB:Q86XR7	TICAM2	TIR domain-containing adapter molecule 2
UniProtKB:O95711	LY86	Lymphocyte antigen 86
UniProtKB:P16109	SELP	P-selectin
UniProtKB:P18564	ITGB6	Integrin beta-6
UniProtKB:P18510	IL1RN	Interleukin-1 receptor antagonist protein
UniProtKB:P01589	IL2RA	Interleukin-2 receptor subunit alpha
UniProtKB:P01588	EPO	Erythropoietin
UniProtKB:P01584	IL1B	Interleukin-1 beta
UniProtKB:P01583	IL1A	Interleukin-1 alpha
UniProtKB:Q14116	IL18	Interleukin-18
UniProtKB:Q12986	NFX1	Transcriptional repressor NF-X1
UniProtKB:Q12968	NFATC3	Nuclear factor of activated T-cells, cytoplasmic 3
UniProtKB:Q12904	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
UniProtKB:P30044	PRDX5	Peroxiredoxin-5, mitochondrial
UniProtKB:P25090	FPR2	N-formyl peptide receptor 2
UniProtKB:Q9NVD3	SETD4	SET domain-containing protein 4
UniProtKB:P25025	CXCR2	C-X-C chemokine receptor type 2
UniProtKB:A6NK06	ACOD1	Cis-aconitate decarboxylase
UniProtKB:P55774	CCL18	C-C motif chemokine 18
UniProtKB:P55773	CCL23	C-C motif chemokine 23
UniProtKB:P35228	NOS2	Nitric oxide synthase, inducible
UniProtKB:P01137	TGFB1	Transforming growth factor beta-1 proprotein
UniProtKB:Q15363	TMED2	Transmembrane emp24 domain-containing protein 2
UniProtKB:Q99572	P2RX7	P2X purinoceptor 7
UniProtKB:P38571	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase
UniProtKB:Q15842	KCNJ8	ATP-sensitive inward rectifier potassium channel 8
UniProtKB:P21580	TNFAIP3	Tumor necrosis factor alpha-induced protein 3
UniProtKB:P80162	CXCL6	C-X-C motif chemokine 6
UniProtKB:Q05940	SLC18A2	Synaptic vesicular amine transporter
UniProtKB:Q7RTR0	NLRP9	NACHT, LRR and PYD domains-containing protein 9
UniProtKB:Q92583	CCL17	C-C motif chemokine 17
UniProtKB:Q9HC23	PROK2	Prokineticin-2
UniProtKB:P80098	CCL7	C-C motif chemokine 7
UniProtKB:P48736	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
UniProtKB:P01042	KNG1	Kininogen-1
UniProtKB:P01033	TIMP1	Metalloproteinase inhibitor 1
UniProtKB:P01031	C5	Complement C5
UniProtKB:P01024	C3	Complement C3
UniProtKB:P01011	SERPINA3	Alpha-1-antichymotrypsin
UniProtKB:P01009	SERPINA1	Alpha-1-antitrypsin
UniProtKB:Q05513	PRKCZ	Protein kinase C zeta type
UniProtKB:P38484	IFNGR2	Interferon gamma receptor 2
UniProtKB:Q99685	MGLL	Monoglyceride lipase
UniProtKB:P31749	AKT1	RAC-alpha serine/threonine-protein kinase
UniProtKB:Q7L0X0	TRIL	TLR4 interactor with leucine rich repeats
UniProtKB:P43116	PTGER2	Prostaglandin E2 receptor EP2 subtype
UniProtKB:P43115	PTGER3	Prostaglandin E2 receptor EP3 subtype
UniProtKB:Q15797	SMAD1	Mothers against decapentaplegic homolog 1
UniProtKB:P11226	MBL2	Mannose-binding protein C
UniProtKB:P11215	ITGAM	Integrin alpha-M
UniProtKB:W6CW81	PYDC5	Pyrin domain-containing protein 5
UniProtKB:P80075	CCL8	C-C motif chemokine 8
UniProtKB:Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1
UniProtKB:P01308	INS	Insulin
UniProtKB:P43489	TNFRSF4	Tumor necrosis factor receptor superfamily member 4
UniProtKB:Q9NR97	TLR8	Toll-like receptor 8
UniProtKB:P06850	CRH	Corticoliberin
UniProtKB:P48960	ADGRE5	Adhesion G protein-coupled receptor E5
UniProtKB:P21731	TBXA2R	Thromboxane A2 receptor
UniProtKB:P21730	C5AR1	C5a anaphylatoxin chemotactic receptor 1
UniProtKB:P01258	CALCA	Calcitonin
UniProtKB:Q99616	CCL13	C-C motif chemokine 13
UniProtKB:Q5TEJ8	THEMIS2	Protein THEMIS2
UniProtKB:Q15743	GPR68	Ovarian cancer G-protein coupled receptor 1
UniProtKB:P31995	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c
UniProtKB:P21462	FPR1	fMet-Leu-Phe receptor
UniProtKB:P47992	XCL1	Lymphotactin
UniProtKB:P59044	NLRP6	NACHT, LRR and PYD domains-containing protein 6
UniProtKB:Q8WWZ1	IL1F10	Interleukin-1 family member 10
UniProtKB:Q99969	RARRES2	Retinoic acid receptor responder protein 2
UniProtKB:P43088	PTGFR	Prostaglandin F2-alpha receptor
UniProtKB:P43119	PTGIR	Prostacyclin receptor
UniProtKB:P01023	A2M	Alpha-2-macroglobulin
UniProtKB:P01579	IFNG	Interferon gamma
UniProtKB:Q9BZS1	FOXP3	Forkhead box protein P3
UniProtKB:P08246	ELANE	Neutrophil elastase
UniProtKB:Q9Y2G2	CARD8	Caspase recruitment domain-containing protein 8
UniProtKB:P55085	F2RL1	Proteinase-activated receptor 2
UniProtKB:O00585	CCL21	C-C motif chemokine 21
UniProtKB:O00590	ACKR2	Atypical chemokine receptor 2
UniProtKB:P55008	AIF1	Allograft inflammatory factor 1
UniProtKB:P18428	LBP	Lipopolysaccharide-binding protein
UniProtKB:P31994	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b
UniProtKB:Q99467	CD180	CD180 antigen
UniProtKB:Q99497	PARK7	Parkinson disease protein 7
UniProtKB:P21246	PTN	Pleiotrophin
UniProtKB:Q8WZA1	POMGNT1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
UniProtKB:Q4KMQ2	ANO6	Anoctamin-6
UniProtKB:Q8NER1	TRPV1	Transient receptor potential cation channel subfamily V member 1
UniProtKB:Q15653	NFKBIB	NF-kappa-B inhibitor beta
UniProtKB:Q9Y624	F11R	Junctional adhesion molecule A
UniProtKB:Q08722	CD47	Leukocyte surface antigen CD47
UniProtKB:Q9Y5S8	NOX1	NADPH oxidase 1
UniProtKB:P16671	CD36	Platelet glycoprotein 4
UniProtKB:P80511	S100A12	Protein S100-A12
UniProtKB:Q9NZK7	PLA2G2E	Group IIE secretory phospholipase A2
UniProtKB:Q92637	FCGR1BP	Putative high affinity immunoglobulin gamma Fc receptor IB
UniProtKB:Q7Z6P3	RAB44	Ras-related protein Rab-44
UniProtKB:P46663	BDKRB1	B1 bradykinin receptor
UniProtKB:P08887	IL6R	Interleukin-6 receptor subunit alpha
UniProtKB:P13521	SCG2	Secretogranin-2
UniProtKB:P13501	CCL5	C-C motif chemokine 5
UniProtKB:P13500	CCL2	C-C motif chemokine 2
UniProtKB:P51575	P2RX1	P2X purinoceptor 1
UniProtKB:P58215	LOXL3	Lysyl oxidase homolog 3
UniProtKB:Q9H0E2	TOLLIP	Toll-interacting protein
UniProtKB:Q5NUL3	FFAR4	Free fatty acid receptor 4
UniProtKB:P14902	IDO1	Indoleamine 2,3-dioxygenase 1
UniProtKB:Q15025	TNIP1	TNFAIP3-interacting protein 1
UniProtKB:O00182	LGALS9	Galectin-9
UniProtKB:O00175	CCL24	C-C motif chemokine 24
UniProtKB:O00161	SNAP23	Synaptosomal-associated protein 23
UniProtKB:P41221	WNT5A	Protein Wnt-5a
UniProtKB:O75326	SEMA7A	Semaphorin-7A
UniProtKB:P32119	PRDX2	Peroxiredoxin-2
